,Order Number,Finished Good,Order Size,Item_Number,Quantity,Shared_parts
264,42,1,2,SSW0K51575,1,.
265,42,1,2,SSW0G44392,2,4
266,42,1,2,000000000031028776,1,.
267,42,1,2,000000000031040179,2,5
268,42,1,2,000000000031503985,1,.
269,42,1,2,PROC10204,2,2
270,42,1,2,000000000031034776,1,.
271,42,1,2,PROC2237,1,.
272,42,1,2,PROC7029,1,.
273,42,1,2,000000000031045548,2,2
274,42,1,2,000000000031045550,2,2
275,42,1,2,000000000031034609,1,.
276,42,1,2,000000000067000739,1,.
277,42,1,2,PROC2802,1,.
278,42,1,2,000000000031037296,1,.
279,42,1,2,SP10G00161,1,.
280,42,1,2,PROC8213,2,3
281,42,1,2,SL10F25678,1,.
282,42,1,2,SPP0G54600,1,.
283,42,1,2,PROC8215,2,4
284,42,1,2,SA70K11490,2,2
285,42,1,2,PROC1811,1,.
286,42,1,2,PROC9106,2,2
287,42,1,2,SSW0K51546,2,2
288,42,1,2,SPP0G54610,1,.
289,42,1,2,PROC9203,2,2
290,42,1,2,PROC12008,1,.
291,42,1,2,SSW0N27927,2,4
292,42,1,2,SSW0N29515,1,.
293,42,1,2,SPP0G98370,1,.
294,42,1,2,PROC1811,2,2
295,42,1,2,PROC10224,1,.
296,46,1,1,000000000000008820,1,.
297,46,1,1,SSW0G43707,2,2
298,46,1,1,SSW0G44348,2,3
299,46,1,1,SSW0G44670,1,.
300,46,1,1,SSW0K51133,2,2
301,46,1,1,SSW0K51575,1,.
302,46,1,1,SSW0G44392,2,4
303,46,1,1,000000000031028776,1,.
304,46,1,1,000000000031040179,2,5
305,46,1,1,000000000031503985,1,.
306,46,1,1,PROC10204,2,2
307,46,1,1,000000000031034776,1,.
308,46,1,1,PROC2237,1,.
309,46,1,1,PROC7029,1,.
310,46,1,1,000000000031045548,2,2
311,46,1,1,000000000031045550,2,2
312,46,1,1,000000000031034609,1,.
313,46,1,1,000000000067000739,1,.
314,46,1,1,PROC2802,1,.
315,46,1,1,000000000031037296,1,.
316,46,1,1,SP10G00161,1,.
317,46,1,1,PROC8213,2,3
318,46,1,1,SL10F25678,1,.
319,46,1,1,SPP0G54600,1,.
320,46,1,1,PROC8215,2,4
321,46,1,1,SA70K11490,2,2
322,46,1,1,PROC1811,1,.
323,46,1,1,PROC9106,2,2
324,46,1,1,SSW0K51546,2,2
325,46,1,1,SPP0G54610,1,.
326,46,1,1,PROC9203,2,2
327,46,1,1,PROC12008,1,.
328,46,1,1,SSW0N27927,2,4
329,46,1,1,SSW0N29515,1,.
330,46,1,1,SPP0G98370,1,.
331,46,1,1,PROC1811,2,2
332,46,1,1,PROC10224,1,.
333,48,1,1,000000000000008820,1,.
334,48,1,1,SSW0G43707,2,2
335,48,1,1,SSW0G44348,2,3
336,48,1,1,SSW0G44670,1,.
337,48,1,1,SSW0K51133,2,2
338,48,1,1,SSW0K51575,1,.
339,48,1,1,SSW0G44392,2,4
340,48,1,1,000000000031028776,1,.
341,48,1,1,000000000031040179,2,5
342,48,1,1,000000000031503985,1,.
343,48,1,1,PROC10204,2,2
344,48,1,1,000000000031034776,1,.
345,48,1,1,PROC2237,1,.
346,48,1,1,PROC7029,1,.
347,48,1,1,000000000031045548,2,2
348,48,1,1,000000000031045550,2,2
349,48,1,1,000000000031034609,1,.
350,48,1,1,000000000067000739,1,.
351,48,1,1,PROC2802,1,.
352,48,1,1,000000000031037296,1,.
353,48,1,1,SP10G00161,1,.
354,48,1,1,PROC8213,2,3
355,48,1,1,SL10F25678,1,.
356,48,1,1,SPP0G54600,1,.
357,48,1,1,PROC8215,2,4
358,48,1,1,SA70K11490,2,2
359,48,1,1,PROC1811,1,.
360,48,1,1,PROC9106,2,2
361,48,1,1,SSW0K51546,2,2
362,48,1,1,SPP0G54610,1,.
363,48,1,1,PROC9203,2,2
364,48,1,1,PROC12008,1,.
365,48,1,1,SSW0N27927,2,4
366,48,1,1,SSW0N29515,1,.
367,48,1,1,SPP0G98370,1,.
368,48,1,1,PROC1811,2,2
369,48,1,1,PROC10224,1,.
370,52,1,3,000000000000008820,1,.
371,52,1,3,SSW0G43707,2,2
372,52,1,3,SSW0G44348,2,3
373,52,1,3,SSW0G44670,1,.
374,52,1,3,SSW0K51133,2,2
375,52,1,3,SSW0K51575,1,.
376,52,1,3,SSW0G44392,2,4
377,52,1,3,000000000031028776,1,.
378,52,1,3,000000000031040179,2,5
379,52,1,3,000000000031503985,1,.
380,52,1,3,PROC10204,2,2
381,52,1,3,000000000031034776,1,.
382,52,1,3,PROC2237,1,.
383,52,1,3,PROC7029,1,.
384,52,1,3,000000000031045548,2,2
385,52,1,3,000000000031045550,2,2
386,52,1,3,000000000031034609,1,.
387,52,1,3,000000000067000739,1,.
388,52,1,3,PROC2802,1,.
389,52,1,3,000000000031037296,1,.
390,52,1,3,SP10G00161,1,.
391,52,1,3,PROC8213,2,3
392,52,1,3,SL10F25678,1,.
393,52,1,3,SPP0G54600,1,.
394,52,1,3,PROC8215,2,4
395,52,1,3,SA70K11490,2,2
396,52,1,3,PROC1811,1,.
397,52,1,3,PROC9106,2,2
398,52,1,3,SSW0K51546,2,2
399,52,1,3,SPP0G54610,1,.
400,52,1,3,PROC9203,2,2
401,52,1,3,PROC12008,1,.
402,52,1,3,SSW0N27927,2,4
403,52,1,3,SSW0N29515,1,.
404,52,1,3,SPP0G98370,1,.
405,52,1,3,PROC1811,2,2
406,52,1,3,PROC10224,1,.
407,54,1,1,000000000000008820,1,.
408,54,1,1,SSW0G43707,2,2
409,54,1,1,SSW0G44348,2,3
410,54,1,1,SSW0G44670,1,.
411,54,1,1,SSW0K51133,2,2
412,54,1,1,SSW0K51575,1,.
413,54,1,1,SSW0G44392,2,4
414,54,1,1,000000000031028776,1,.
415,54,1,1,000000000031040179,2,5
416,54,1,1,000000000031503985,1,.
417,54,1,1,PROC10204,2,2
418,54,1,1,000000000031034776,1,.
419,54,1,1,PROC2237,1,.
420,54,1,1,PROC7029,1,.
421,54,1,1,000000000031045548,2,2
422,54,1,1,000000000031045550,2,2
423,54,1,1,000000000031034609,1,.
424,54,1,1,000000000067000739,1,.
425,54,1,1,PROC2802,1,.
426,54,1,1,000000000031037296,1,.
427,54,1,1,SP10G00161,1,.
428,54,1,1,PROC8213,2,3
429,54,1,1,SL10F25678,1,.
430,54,1,1,SPP0G54600,1,.
431,54,1,1,PROC8215,2,4
432,54,1,1,SA70K11490,2,2
433,54,1,1,PROC1811,1,.
434,54,1,1,PROC9106,2,2
435,54,1,1,SSW0K51546,2,2
436,54,1,1,SPP0G54610,1,.
437,54,1,1,PROC9203,2,2
438,54,1,1,PROC12008,1,.
439,54,1,1,SSW0N27927,2,4
440,54,1,1,SSW0N29515,1,.
441,54,1,1,SPP0G98370,1,.
442,54,1,1,PROC1811,2,2
443,54,1,1,PROC10224,1,.
444,60,1,4,000000000000008820,1,.
445,60,1,4,SSW0G43707,2,2
446,60,1,4,SSW0G44348,2,3
447,60,1,4,SSW0G44670,1,.
448,60,1,4,SSW0K51133,2,2
449,60,1,4,SSW0K51575,1,.
450,60,1,4,SSW0G44392,2,4
451,60,1,4,000000000031028776,1,.
452,60,1,4,000000000031040179,2,5
