Plant,item/Component,Date,FG,Quantity
1001,PROC8215,20171123,209MH32,2
1001,SB20K00972,20171123,209MH32,2
1001,PROC8345,20171123,209MH32,1
1001,cdb_04000018,20171123,209MH32,2
1001,SM20H54472,20171123,209MH32,1
1001,SM20H54473,20171123,209MH32,2
1001,PROC7704,20171123,209MH32,2
1001,SA70K11490,20171123,209MH32,2
1001,000000000031503454,20171123,209MH32,2
1001,000000000031503455,20171123,209MH32,2
1001,000000000031503456,20171123,209MH32,2
1001,000000000031501055,20171123,209MH32,1
1001,000000000031501056,20171123,209MH32,2
1001,SPP0J33159,20171123,209MH32,2
1001,PROC1811,20171123,209MH32,1
1001,SPP0G54625,20171123,209MH32,2
1001,PROC9106,20171123,209MH32,2
1001,PROC9107,20171123,209MH32,1
1001,SPP0M26744,20171123,209MH32,1
1001,SSW0K51546,20171123,209MH32,2
1001,SSW0K51614,20171123,209MH32,1
1001,SSW0K51686,20171123,209MH32,1
1001,SSW0K52073,20171123,209MH32,2
1001,SPP0G54610,20171123,209MH32,1
1001,SPP0G99675,20171123,209MH32,2
1001,SSW0K51935,20171123,209MH32,2
1001,PROC9203,20171123,209MH32,2
1001,PROC10806,20171123,209MH56,2
1001,PROC12008,20171123,209MH56,1
1001,PROC9321,20171123,209MH56,2
1001,PROC3410,20171123,209MH56,1
1001,PROC11106,20171123,209MH56,1
1001,SP10K29485,20171123,209MH56,1
1001,PROC10958,20171123,209MH56,1
1001,PROC11105,20171123,209MH56,2
1001,PROC11104,20171123,209MH56,1
1001,SPP0K08480,20171123,209MH56,1
1001,SSW0Q44609,20171123,209MH56,2
1001,PROC3420,20171123,209MH56,2
1001,SSW0N26852,20171123,209MH56,1
1001,SSW0N27927,20171123,209MH56,2
1001,cdb_49000017,20171123,209MH56,2
1001,SPP0M26744,20171123,209MH56,2
1001,PROC14102,20171123,209MH56,2
1001,PROC10219,20171123,209MH56,1
1001,SSW0N29515,20171123,209MH56,1
1001,PROC13209,20171123,209MH56,1
1001,SSW0N27719,20171123,209MH56,2
1001,SSW0N29425,20171123,209MH56,1
1001,000000000067000739,20171123,209MH56,1
1001,SPP0H55681,20171123,209MH56,1
1001,SPP0H55684,20171123,209MH56,2
1001,000000000067001143,20171123,209MH56,1
1001,SPP0G98370,20171123,209MH56,1
1001,SPP0G98255,20171123,209MH56,1
1001,PROC1811,20171123,209MH56,2
1001,PROC10209,20171123,209MH56,1
1001,SSW0N28641,20171123,209MH56,2
1001,SSW0N29422,20171123,209MH56,1
1001,PROC10938,20171123,209MH56,2
1001,PROC12801,20171123,209MH56,2
1001,SL10F25678,20171123,209MH56,1
1001,PROC10338,20171123,209MH56,2
1001,PROC10224,20171123,209MH56,1
1001,SSW0Q43897,20171123,209MH56,1
1001,SSW0Q43526,20171123,209MH56,1
1001,SSW0L97271,20171123,209MH56,2
