,Order Number,Finished Good,Order Size,Item_Number,Quantity,qty_on_order,fulfilled_parts
3005,80,5,1,PROC10806,2,2,True
2997,80,5,1,000000000144002367,1,1,True
2998,80,5,1,PROC8219,2,2,True
2999,80,5,1,PROC8212,1,1,True
3000,80,5,1,SB20K00972,2,2,True
3001,80,5,1,000000000031501055,1,1,True
3002,80,5,1,SSW0K51614,1,1,True
3003,80,5,1,SSW0K51686,1,1,True
3004,80,5,1,SSW0K52073,2,2,True
2992,80,5,1,000000000025216222,1,1,True
2993,80,5,1,SM50F76959,2,2,True
2994,80,5,1,000000000031045784,2,2,True
3006,80,5,1,PROC11105,2,2,True
2996,80,5,1,000000000031045785,1,1,True
3007,80,5,1,SSW0N26852,1,1,True
3008,80,5,1,SSW0N27719,2,2,True
3009,80,5,1,SSW0N29425,1,1,True
3010,80,5,1,000000000067000739,1,1,True
3011,80,5,1,SPP0G98255,1,1,True
3012,80,5,1,SSW0Q43897,1,1,True
2990,80,5,1,PROC11021,1,1,True
2989,80,5,1,SD50H32698,2,2,True
2988,80,5,1,SSW0K51574,1,1,True
2991,80,5,1,PROC6222,2,2,True
2995,80,5,1,000000000031506282,1,1,True
2470,81,4,4,SM20H54473,2,8,True
2471,81,4,4,PROC7704,2,8,True
2452,81,4,4,SSW0F82867,1,4,True
2454,81,4,4,SSW0G45194,1,4,True
2453,81,4,4,SSW0F75749,2,8,True
2456,81,4,4,SSW0G44390,1,4,True
2472,81,4,4,000000000031503454,2,8,True
2473,81,4,4,PROC9321,2,8,True
2474,81,4,4,SP10K29485,1,4,True
2475,81,4,4,PROC11104,1,4,True
2476,81,4,4,PROC3420,2,8,True
2477,81,4,4,cdb_49000017,2,8,True
2478,81,4,4,SPP0M26744,2,8,True
2479,81,4,4,PROC14102,2,8,True
2480,81,4,4,PROC13209,1,4,True
2455,81,4,4,000000000031045653,1,4,True
2482,81,4,4,SSW0N29422,1,4,True
2483,81,4,4,PROC12801,2,8,True
2484,81,4,4,SL10F25678,1,4,True
2481,81,4,4,PROC10209,1,4,True
2469,81,4,4,SDM0K33193,1,4,True
2458,81,4,4,SSW0K51131,2,8,True
2459,81,4,4,000000000031038890,1,4,True
2460,81,4,4,PROC3420,2,8,True
2461,81,4,4,PROC6914,1,4,True
2462,81,4,4,PROC9321,2,8,True
2463,81,4,4,PROC12008,1,4,True
2464,81,4,4,SD50H32650,1,4,True
2485,81,4,4,SSW0Q43526,1,4,True
2457,81,4,4,SSW0G44671,1,4,True
2465,81,4,4,PROC14101,2,8,True
2466,81,4,4,000000000031034561,1,4,True
2467,81,4,4,PROC3726,1,4,True
2468,81,4,4,000000000031502214,1,4,True
3015,82,5,1,PROC11021,1,1,True
3018,82,5,1,SM50F76959,2,2,True
3019,82,5,1,000000000031045784,2,2,True
3014,82,5,1,SD50H32698,2,2,True
3013,82,5,1,SSW0K51574,1,1,True
3022,82,5,1,000000000144002367,1,1,True
3016,82,5,1,PROC6222,2,2,True
3017,82,5,1,000000000025216222,1,1,True
3027,82,5,1,SSW0K51614,1,1,True
3020,82,5,1,000000000031506282,1,1,True
3023,82,5,1,PROC8219,2,2,True
3026,82,5,1,000000000031501055,1,1,True
3021,82,5,1,000000000031045785,1,1,True
3028,82,5,1,SSW0K51686,1,1,True
3029,82,5,1,SSW0K52073,2,2,True
3024,82,5,1,PROC8212,1,1,True
3030,82,5,1,PROC10806,2,2,True
3025,82,5,1,SB20K00972,2,2,True
3032,82,5,1,SSW0N26852,1,1,True
3033,82,5,1,SSW0N27719,2,2,True
3034,82,5,1,SSW0N29425,1,1,True
3035,82,5,1,000000000067000739,1,1,True
3036,82,5,1,SPP0G98255,1,1,True
3037,82,5,1,SSW0Q43897,1,1,True
3031,82,5,1,PROC11105,2,2,True
1205,83,3,1,SD50H32746,1,1,True
1198,83,3,1,SSW0G44836,1,1,True
1200,83,3,1,SSW0P20662,1,1,True
1201,83,3,1,SSW0G44351,1,1,True
1202,83,3,1,SSW0G44585,2,2,True
1203,83,3,1,SL60K75022,1,1,True
1204,83,3,1,cdb_49000017,1,1,True
1199,83,3,1,SSW0G44953,1,1,True
1206,83,3,1,PROC13209,2,2,True
1225,83,3,1,PROC10338,2,2,True
1226,83,3,1,SSW0L97271,2,2,True
1207,83,3,1,000000000031045549,1,1,True
1208,83,3,1,PROC7320,1,1,True
1209,83,3,1,SPP0H55681,1,1,True
1210,83,3,1,PROC7109,1,1,True
1211,83,3,1,PROC7033,1,1,True
1212,83,3,1,000000000031028400,2,2,True
1213,83,3,1,cdb_04000018,2,2,True
1214,83,3,1,000000000031501056,2,2,True
1197,83,3,1,SSW0G42871,1,1,True
1216,83,3,1,PROC9107,1,1,True
1217,83,3,1,SPP0G99675,2,2,True
1218,83,3,1,SSW0K51935,2,2,True
1219,83,3,1,PROC3410,1,1,True
1220,83,3,1,SPP0K08480,1,1,True
1221,83,3,1,SPP0H55681,1,1,True
1222,83,3,1,SPP0H55684,2,2,True
1223,83,3,1,000000000067001143,1,1,True
1215,83,3,1,SPP0G54625,2,2,True
1224,83,3,1,SSW0N28641,2,2,True
3054,84,5,1,SSW0K52073,2,2,True
3055,84,5,1,PROC10806,2,2,True
3056,84,5,1,PROC11105,2,2,True
3057,84,5,1,SSW0N26852,1,1,True
3060,84,5,1,000000000067000739,1,1,True
3059,84,5,1,SSW0N29425,1,1,True
3053,84,5,1,SSW0K51686,1,1,True
3061,84,5,1,SPP0G98255,1,1,True
3062,84,5,1,SSW0Q43897,1,1,True
3058,84,5,1,SSW0N27719,2,2,True
3052,84,5,1,SSW0K51614,1,1,True
3047,84,5,1,000000000144002367,1,1,True
3050,84,5,1,SB20K00972,2,2,True
3049,84,5,1,PROC8212,1,1,True
3048,84,5,1,PROC8219,2,2,True
3046,84,5,1,000000000031045785,1,1,True
3045,84,5,1,000000000031506282,1,1,True
3044,84,5,1,000000000031045784,2,2,True
3043,84,5,1,SM50F76959,2,2,True
3042,84,5,1,000000000025216222,1,1,True
3040,84,5,1,PROC11021,1,1,True
3039,84,5,1,SD50H32698,2,2,True
3038,84,5,1,SSW0K51574,1,1,True
3051,84,5,1,000000000031501055,1,1,True
3041,84,5,1,PROC6222,2,2,True
2497,85,4,3,PROC12008,1,3,False
2496,85,4,3,PROC9321,2,6,False
2517,85,4,3,PROC12801,2,6,False
2516,85,4,3,SSW0N29422,1,3,False
2515,85,4,3,PROC10209,1,3,False
2514,85,4,3,PROC13209,1,3,True
2513,85,4,3,PROC14102,2,6,False
2512,85,4,3,SPP0M26744,2,6,True
2511,85,4,3,cdb_49000017,2,6,True
2510,85,4,3,PROC3420,2,6,False
2509,85,4,3,PROC11104,1,3,False
2508,85,4,3,SP10K29485,1,3,False
2507,85,4,3,PROC9321,2,6,False
2506,85,4,3,000000000031503454,2,6,False
2505,85,4,3,PROC7704,2,6,False
2504,85,4,3,SM20H54473,2,6,False
2503,85,4,3,SDM0K33193,1,3,False
2502,85,4,3,000000000031502214,1,3,False
2501,85,4,3,PROC3726,1,3,False
2486,85,4,3,SSW0F82867,1,3,False
2487,85,4,3,SSW0F75749,2,6,False
2488,85,4,3,SSW0G45194,1,3,False
2489,85,4,3,000000000031045653,1,3,False
2490,85,4,3,SSW0G44390,1,3,False
2491,85,4,3,SSW0G44671,1,3,False
2518,85,4,3,SL10F25678,1,3,False
2492,85,4,3,SSW0K51131,2,6,False
2494,85,4,3,PROC3420,2,6,False
2495,85,4,3,PROC6914,1,3,False
2498,85,4,3,SD50H32650,1,3,False
2499,85,4,3,PROC14101,2,6,False
2500,85,4,3,000000000031034561,1,3,False
2493,85,4,3,000000000031038890,1,3,False
2519,85,4,3,SSW0Q43526,1,3,False
1232,86,3,2,SSW0G44585,2,4,True
1238,86,3,2,PROC7320,1,2,True
1234,86,3,2,cdb_49000017,1,2,True
1256,86,3,2,SSW0L97271,2,4,True
1255,86,3,2,PROC10338,2,4,True
1254,86,3,2,SSW0N28641,2,4,True
1253,86,3,2,000000000067001143,1,2,True
1252,86,3,2,SPP0H55684,2,4,True
1251,86,3,2,SPP0H55681,1,2,True
1250,86,3,2,SPP0K08480,1,2,True
1249,86,3,2,PROC3410,1,2,True
1248,86,3,2,SSW0K51935,2,4,True
1247,86,3,2,SPP0G99675,2,4,True
1233,86,3,2,SL60K75022,1,2,True
1246,86,3,2,PROC9107,1,2,True
1244,86,3,2,000000000031501056,2,4,True
1243,86,3,2,cdb_04000018,2,4,True
1242,86,3,2,000000000031028400,2,4,True
1241,86,3,2,PROC7033,1,2,True
1240,86,3,2,PROC7109,1,2,True
1239,86,3,2,SPP0H55681,1,2,True
1231,86,3,2,SSW0G44351,1,2,True
1237,86,3,2,000000000031045549,1,2,True
1236,86,3,2,PROC13209,2,4,True
1235,86,3,2,SD50H32746,1,2,True
1245,86,3,2,SPP0G54625,2,4,True
1230,86,3,2,SSW0P20662,1,2,True
1228,86,3,2,SSW0G44836,1,2,True
1227,86,3,2,SSW0G42871,1,2,True
1229,86,3,2,SSW0G44953,1,2,True
1735,87,2,1,000000000031034774,2,2,True
1751,87,2,1,PROC10219,1,1,True
1750,87,2,1,SSW0Q44609,2,2,True
1749,87,2,1,PROC10958,1,1,True
1748,87,2,1,PROC11106,1,1,True
1747,87,2,1,SPP0M26744,1,1,True
1746,87,2,1,SPP0J33159,2,2,True
1745,87,2,1,000000000031503456,2,2,True
1743,87,2,1,SM20H54472,1,1,True
1742,87,2,1,PROC8345,1,1,True
1741,87,2,1,SPP0J33247,1,1,True
1740,87,2,1,PROC8214,2,2,True
1739,87,2,1,PROC8211,1,1,True
1738,87,2,1,PROC11611,2,2,True
1737,87,2,1,000000000031503244,2,2,True
1736,87,2,1,000000000031503243,2,2,True
1744,87,2,1,000000000031503455,2,2,True
1752,87,2,1,PROC10938,2,2,True
1733,87,2,1,PROC10001,1,1,True
1734,87,2,1,PROC13101,1,1,True
1724,87,2,1,000000000000011977,1,1,True
1726,87,2,1,SSW0F63159,2,2,True
1727,87,2,1,SSW0G42868,1,1,True
1728,87,2,1,SSW0G44017,1,1,True
1725,87,2,1,SSW0G44678,1,1,True
1730,87,2,1,000000000031042062,1,1,True
1731,87,2,1,cdb_50000007,2,2,True
1732,87,2,1,cdb_47000131,1,1,True
1729,87,2,1,SSW0L47695,2,2,True
3068,88,5,1,SM50F76959,2,2,True
3063,88,5,1,SSW0K51574,1,1,True
3064,88,5,1,SD50H32698,2,2,True
3065,88,5,1,PROC11021,1,1,True
3066,88,5,1,PROC6222,2,2,True
3067,88,5,1,000000000025216222,1,1,True
3072,88,5,1,000000000144002367,1,1,True
3073,88,5,1,PROC8219,2,2,True
3086,88,5,1,SPP0G98255,1,1,True
3074,88,5,1,PROC8212,1,1,True
3075,88,5,1,SB20K00972,2,2,True
3076,88,5,1,000000000031501055,1,1,True
3077,88,5,1,SSW0K51614,1,1,True
3071,88,5,1,000000000031045785,1,1,True
3070,88,5,1,000000000031506282,1,1,True
3087,88,5,1,SSW0Q43897,1,1,True
3078,88,5,1,SSW0K51686,1,1,True
3080,88,5,1,PROC10806,2,2,True
3081,88,5,1,PROC11105,2,2,True
3082,88,5,1,SSW0N26852,1,1,True
3083,88,5,1,SSW0N27719,2,2,True
3084,88,5,1,SSW0N29425,1,1,True
3085,88,5,1,000000000067000739,1,1,True
3079,88,5,1,SSW0K52073,2,2,True
3069,88,5,1,000000000031045784,2,2,True
701,89,1,1,PROC1811,2,2,False
666,89,1,1,000000000000008820,1,1,False
687,89,1,1,PROC8213,2,2,False
688,89,1,1,SL10F25678,1,1,True
689,89,1,1,SPP0G54600,1,1,False
690,89,1,1,PROC8215,2,2,False
691,89,1,1,SA70K11490,2,2,False
692,89,1,1,PROC1811,1,1,False
686,89,1,1,SP10G00161,1,1,False
693,89,1,1,PROC9106,2,2,False
695,89,1,1,SPP0G54610,1,1,False
702,89,1,1,PROC10224,1,1,False
697,89,1,1,PROC12008,1,1,True
698,89,1,1,SSW0N27927,2,2,False
699,89,1,1,SSW0N29515,1,1,False
700,89,1,1,SPP0G98370,1,1,False
694,89,1,1,SSW0K51546,2,2,False
685,89,1,1,000000000031037296,1,1,False
696,89,1,1,PROC9203,2,2,False
683,89,1,1,000000000067000739,1,1,True
684,89,1,1,PROC2802,1,1,False
667,89,1,1,SSW0G43707,2,2,False
668,89,1,1,SSW0G44348,2,2,False
669,89,1,1,SSW0G44670,1,1,False
670,89,1,1,SSW0K51133,2,2,False
671,89,1,1,SSW0K51575,1,1,False
672,89,1,1,SSW0G44392,2,2,False
673,89,1,1,000000000031028776,1,1,False
677,89,1,1,000000000031034776,1,1,False
675,89,1,1,000000000031503985,1,1,False
676,89,1,1,PROC10204,2,2,False
678,89,1,1,PROC2237,1,1,False
679,89,1,1,PROC7029,1,1,False
680,89,1,1,000000000031045548,2,2,False
681,89,1,1,000000000031045550,2,2,False
674,89,1,1,000000000031040179,2,2,False
682,89,1,1,000000000031034609,1,1,False
3103,90,5,4,SSW0K51686,1,4,False
3104,90,5,4,SSW0K52073,2,8,False
3105,90,5,4,PROC10806,2,8,False
3108,90,5,4,SSW0N27719,2,8,False
3107,90,5,4,SSW0N26852,1,4,False
3102,90,5,4,SSW0K51614,1,4,False
3109,90,5,4,SSW0N29425,1,4,False
3110,90,5,4,000000000067000739,1,4,False
3106,90,5,4,PROC11105,2,8,False
3101,90,5,4,000000000031501055,1,4,False
3097,90,5,4,000000000144002367,1,4,False
3099,90,5,4,PROC8212,1,4,False
3098,90,5,4,PROC8219,2,8,False
3096,90,5,4,000000000031045785,1,4,False
3095,90,5,4,000000000031506282,1,4,False
3094,90,5,4,000000000031045784,2,8,False
3093,90,5,4,SM50F76959,2,8,False
3091,90,5,4,PROC6222,2,8,False
3090,90,5,4,PROC11021,1,4,False
3089,90,5,4,SD50H32698,2,8,False
3088,90,5,4,SSW0K51574,1,4,False
3100,90,5,4,SB20K00972,2,8,False
3092,90,5,4,000000000025216222,1,4,False
3112,90,5,4,SSW0Q43897,1,4,False
3111,90,5,4,SPP0G98255,1,4,False
1257,91,3,2,SSW0G42871,1,2,True
1286,91,3,2,SSW0L97271,2,4,True
1285,91,3,2,PROC10338,2,4,True
1284,91,3,2,SSW0N28641,2,4,True
1283,91,3,2,000000000067001143,1,2,True
1282,91,3,2,SPP0H55684,2,4,True
1281,91,3,2,SPP0H55681,1,2,True
1279,91,3,2,PROC3410,1,2,True
1278,91,3,2,SSW0K51935,2,4,True
1277,91,3,2,SPP0G99675,2,4,True
1276,91,3,2,PROC9107,1,2,True
1275,91,3,2,SPP0G54625,2,4,True
1274,91,3,2,000000000031501056,2,4,True
1273,91,3,2,cdb_04000018,2,4,True
1280,91,3,2,SPP0K08480,1,2,True
1271,91,3,2,PROC7033,1,2,True
1272,91,3,2,000000000031028400,2,4,True
1259,91,3,2,SSW0G44953,1,2,True
1260,91,3,2,SSW0P20662,1,2,True
1261,91,3,2,SSW0G44351,1,2,True
1262,91,3,2,SSW0G44585,2,4,True
1263,91,3,2,SL60K75022,1,2,True
1264,91,3,2,cdb_49000017,1,2,False
1258,91,3,2,SSW0G44836,1,2,True
1265,91,3,2,SD50H32746,1,2,True
1266,91,3,2,PROC13209,2,4,True
1267,91,3,2,000000000031045549,1,2,True
1268,91,3,2,PROC7320,1,2,True
1269,91,3,2,SPP0H55681,1,2,True
1270,91,3,2,PROC7109,1,2,True
2536,92,4,1,000000000031502214,1,1,True
2535,92,4,1,PROC3726,1,1,True
2534,92,4,1,000000000031034561,1,1,True
2533,92,4,1,PROC14101,2,2,True
2532,92,4,1,SD50H32650,1,1,True
2531,92,4,1,PROC12008,1,1,False
2530,92,4,1,PROC9321,2,2,False
2527,92,4,1,000000000031038890,1,1,True
2528,92,4,1,PROC3420,2,2,False
2537,92,4,1,SDM0K33193,1,1,True
2526,92,4,1,SSW0K51131,2,2,True
2525,92,4,1,SSW0G44671,1,1,True
2524,92,4,1,SSW0G44390,1,1,True
2523,92,4,1,000000000031045653,1,1,True
2529,92,4,1,PROC6914,1,1,True
2538,92,4,1,SM20H54473,2,2,True
2520,92,4,1,SSW0F82867,1,1,True
2540,92,4,1,000000000031503454,2,2,True
2522,92,4,1,SSW0G45194,1,1,True
2553,92,4,1,SSW0Q43526,1,1,True
2552,92,4,1,SL10F25678,1,1,False
2551,92,4,1,PROC12801,2,2,True
2550,92,4,1,SSW0N29422,1,1,True
2549,92,4,1,PROC10209,1,1,True
2539,92,4,1,PROC7704,2,2,True
2548,92,4,1,PROC13209,1,1,True
2546,92,4,1,SPP0M26744,2,2,True
2545,92,4,1,cdb_49000017,2,2,False
2544,92,4,1,PROC3420,2,2,False
2543,92,4,1,PROC11104,1,1,True
2542,92,4,1,SP10K29485,1,1,True
2541,92,4,1,PROC9321,2,2,False
2547,92,4,1,PROC14102,2,2,True
2521,92,4,1,SSW0F75749,2,2,True
2587,93,4,3,SSW0Q43526,1,3,False
2586,93,4,3,SL10F25678,1,3,False
2574,93,4,3,000000000031503454,2,6,False
2583,93,4,3,PROC10209,1,3,False
2582,93,4,3,PROC13209,1,3,False
2581,93,4,3,PROC14102,2,6,False
2580,93,4,3,SPP0M26744,2,6,False
2579,93,4,3,cdb_49000017,2,6,False
2578,93,4,3,PROC3420,2,6,False
2577,93,4,3,PROC11104,1,3,False
2576,93,4,3,SP10K29485,1,3,False
2575,93,4,3,PROC9321,2,6,False
2558,93,4,3,SSW0G44390,1,3,False
2573,93,4,3,PROC7704,2,6,False
2572,93,4,3,SM20H54473,2,6,False
2571,93,4,3,SDM0K33193,1,3,False
2570,93,4,3,000000000031502214,1,3,False
2569,93,4,3,PROC3726,1,3,False
2568,93,4,3,000000000031034561,1,3,False
2567,93,4,3,PROC14101,2,6,False
2566,93,4,3,SD50H32650,1,3,False
2565,93,4,3,PROC12008,1,3,False
2564,93,4,3,PROC9321,2,6,False
2563,93,4,3,PROC6914,1,3,False
2562,93,4,3,PROC3420,2,6,False
2561,93,4,3,000000000031038890,1,3,False
2554,93,4,3,SSW0F82867,1,3,False
2560,93,4,3,SSW0K51131,2,6,False
2556,93,4,3,SSW0G45194,1,3,False
2557,93,4,3,000000000031045653,1,3,False
2584,93,4,3,SSW0N29422,1,3,False
2585,93,4,3,PROC12801,2,6,False
2559,93,4,3,SSW0G44671,1,3,False
2555,93,4,3,SSW0F75749,2,6,False
733,94,1,1,PROC9203,2,2,False
717,94,1,1,000000000031045548,2,2,False
716,94,1,1,PROC7029,1,1,False
715,94,1,1,PROC2237,1,1,False
714,94,1,1,000000000031034776,1,1,False
713,94,1,1,PROC10204,2,2,False
712,94,1,1,000000000031503985,1,1,False
711,94,1,1,000000000031040179,2,2,False
710,94,1,1,000000000031028776,1,1,False
709,94,1,1,SSW0G44392,2,2,False
708,94,1,1,SSW0K51575,1,1,False
707,94,1,1,SSW0K51133,2,2,False
706,94,1,1,SSW0G44670,1,1,False
732,94,1,1,SPP0G54610,1,1,False
704,94,1,1,SSW0G43707,2,2,False
703,94,1,1,000000000000008820,1,1,False
718,94,1,1,000000000031045550,2,2,False
719,94,1,1,000000000031034609,1,1,False
705,94,1,1,SSW0G44348,2,2,False
721,94,1,1,PROC2802,1,1,False
734,94,1,1,PROC12008,1,1,False
735,94,1,1,SSW0N27927,2,2,False
720,94,1,1,000000000067000739,1,1,False
736,94,1,1,SSW0N29515,1,1,False
737,94,1,1,SPP0G98370,1,1,False
738,94,1,1,PROC1811,2,2,False
739,94,1,1,PROC10224,1,1,False
730,94,1,1,PROC9106,2,2,False
731,94,1,1,SSW0K51546,2,2,False
728,94,1,1,SA70K11490,2,2,False
727,94,1,1,PROC8215,2,2,False
726,94,1,1,SPP0G54600,1,1,False
725,94,1,1,SL10F25678,1,1,False
722,94,1,1,000000000031037296,1,1,False
729,94,1,1,PROC1811,1,1,False
723,94,1,1,SP10G00161,1,1,False
724,94,1,1,PROC8213,2,2,False
1297,95,3,1,000000000031045549,1,1,True
1296,95,3,1,PROC13209,2,2,False
1295,95,3,1,SD50H32746,1,1,True
1294,95,3,1,cdb_49000017,1,1,True
1291,95,3,1,SSW0G44351,1,1,True
1292,95,3,1,SSW0G44585,2,2,True
1298,95,3,1,PROC7320,1,1,True
1290,95,3,1,SSW0P20662,1,1,True
1289,95,3,1,SSW0G44953,1,1,True
1288,95,3,1,SSW0G44836,1,1,True
1287,95,3,1,SSW0G42871,1,1,True
1293,95,3,1,SL60K75022,1,1,True
1299,95,3,1,SPP0H55681,1,1,True
1302,95,3,1,000000000031028400,2,2,True
1301,95,3,1,PROC7033,1,1,True
1303,95,3,1,cdb_04000018,2,2,True
1304,95,3,1,000000000031501056,2,2,True
1305,95,3,1,SPP0G54625,2,2,True
1306,95,3,1,PROC9107,1,1,True
1308,95,3,1,SSW0K51935,2,2,True
1309,95,3,1,PROC3410,1,1,True
1310,95,3,1,SPP0K08480,1,1,True
1311,95,3,1,SPP0H55681,1,1,True
1312,95,3,1,SPP0H55684,2,2,True
1313,95,3,1,000000000067001143,1,1,True
1314,95,3,1,SSW0N28641,2,2,True
1315,95,3,1,PROC10338,2,2,True
1316,95,3,1,SSW0L97271,2,2,True
1300,95,3,1,PROC7109,1,1,True
1307,95,3,1,SPP0G99675,2,2,True
1344,96,3,3,SSW0N28641,2,6,False
1319,96,3,3,SSW0G44953,1,3,False
1343,96,3,3,000000000067001143,1,3,False
1342,96,3,3,SPP0H55684,2,6,False
1341,96,3,3,SPP0H55681,1,3,False
1340,96,3,3,SPP0K08480,1,3,False
1339,96,3,3,PROC3410,1,3,False
1338,96,3,3,SSW0K51935,2,6,False
1337,96,3,3,SPP0G99675,2,6,False
1336,96,3,3,PROC9107,1,3,False
1335,96,3,3,SPP0G54625,2,6,False
1334,96,3,3,000000000031501056,2,6,False
1333,96,3,3,cdb_04000018,2,6,False
1317,96,3,3,SSW0G42871,1,3,False
1332,96,3,3,000000000031028400,2,6,False
1330,96,3,3,PROC7109,1,3,False
1329,96,3,3,SPP0H55681,1,3,False
1328,96,3,3,PROC7320,1,3,False
1327,96,3,3,000000000031045549,1,3,False
1326,96,3,3,PROC13209,2,6,False
1325,96,3,3,SD50H32746,1,3,False
1324,96,3,3,cdb_49000017,1,3,False
1323,96,3,3,SL60K75022,1,3,False
1322,96,3,3,SSW0G44585,2,6,False
1321,96,3,3,SSW0G44351,1,3,False
1320,96,3,3,SSW0P20662,1,3,False
1331,96,3,3,PROC7033,1,3,False
1318,96,3,3,SSW0G44836,1,3,False
1345,96,3,3,PROC10338,2,6,False
1346,96,3,3,SSW0L97271,2,6,False
1765,97,2,5,000000000031503243,2,10,True
1766,97,2,5,000000000031503244,2,10,True
1764,97,2,5,000000000031034774,2,10,True
1763,97,2,5,PROC13101,1,5,True
1762,97,2,5,PROC10001,1,5,True
1761,97,2,5,cdb_47000131,1,5,True
1760,97,2,5,cdb_50000007,2,10,True
1759,97,2,5,000000000031042062,1,5,True
1758,97,2,5,SSW0L47695,2,10,True
1757,97,2,5,SSW0G44017,1,5,True
1756,97,2,5,SSW0G42868,1,5,True
1755,97,2,5,SSW0F63159,2,10,True
1754,97,2,5,SSW0G44678,1,5,True
1753,97,2,5,000000000000011977,1,5,True
1767,97,2,5,PROC11611,2,10,True
1768,97,2,5,PROC8211,1,5,True
1769,97,2,5,PROC8214,2,10,True
1770,97,2,5,SPP0J33247,1,5,True
1781,97,2,5,PROC10938,2,10,True
1780,97,2,5,PROC10219,1,5,True
1779,97,2,5,SSW0Q44609,2,10,True
1778,97,2,5,PROC10958,1,5,True
1776,97,2,5,SPP0M26744,1,5,False
1777,97,2,5,PROC11106,1,5,True
1774,97,2,5,000000000031503456,2,10,True
1773,97,2,5,000000000031503455,2,10,True
1772,97,2,5,SM20H54472,1,5,True
1771,97,2,5,PROC8345,1,5,True
1775,97,2,5,SPP0J33159,2,10,True
1805,98,2,2,SPP0M26744,1,2,False
1804,98,2,2,SPP0J33159,2,4,False
1803,98,2,2,000000000031503456,2,4,False
1802,98,2,2,000000000031503455,2,4,False
1801,98,2,2,SM20H54472,1,2,False
1806,98,2,2,PROC11106,1,2,False
1786,98,2,2,SSW0G44017,1,2,False
1808,98,2,2,SSW0Q44609,2,4,False
1800,98,2,2,PROC8345,1,2,False
1809,98,2,2,PROC10219,1,2,False
1810,98,2,2,PROC10938,2,4,False
1787,98,2,2,SSW0L47695,2,4,False
1807,98,2,2,PROC10958,1,2,False
1799,98,2,2,SPP0J33247,1,2,False
1789,98,2,2,cdb_50000007,2,4,False
1797,98,2,2,PROC8211,1,2,False
1798,98,2,2,PROC8214,2,4,False
1784,98,2,2,SSW0F63159,2,4,False
1783,98,2,2,SSW0G44678,1,2,False
1782,98,2,2,000000000000011977,1,2,False
1785,98,2,2,SSW0G42868,1,2,False
1790,98,2,2,cdb_47000131,1,2,False
1788,98,2,2,000000000031042062,1,2,False
1792,98,2,2,PROC13101,1,2,False
1793,98,2,2,000000000031034774,2,4,False
1794,98,2,2,000000000031503243,2,4,False
1795,98,2,2,000000000031503244,2,4,False
1796,98,2,2,PROC11611,2,4,False
1791,98,2,2,PROC10001,1,2,False
1829,99,2,1,PROC8345,1,1,False
1830,99,2,1,SM20H54472,1,1,False
1831,99,2,1,000000000031503455,2,2,False
1832,99,2,1,000000000031503456,2,2,False
1833,99,2,1,SPP0J33159,2,2,False
1839,99,2,1,PROC10938,2,2,False
1835,99,2,1,PROC11106,1,1,False
1836,99,2,1,PROC10958,1,1,False
1837,99,2,1,SSW0Q44609,2,2,False
1838,99,2,1,PROC10219,1,1,False
1828,99,2,1,SPP0J33247,1,1,False
1834,99,2,1,SPP0M26744,1,1,True
1827,99,2,1,PROC8214,2,2,False
1816,99,2,1,SSW0L47695,2,2,False
1825,99,2,1,PROC11611,2,2,False
1811,99,2,1,000000000000011977,1,1,False
1826,99,2,1,PROC8211,1,1,False
1812,99,2,1,SSW0G44678,1,1,False
1813,99,2,1,SSW0F63159,2,2,False
1814,99,2,1,SSW0G42868,1,1,False
1815,99,2,1,SSW0G44017,1,1,False
1822,99,2,1,000000000031034774,2,2,False
1818,99,2,1,cdb_50000007,2,2,False
1819,99,2,1,cdb_47000131,1,1,False
1820,99,2,1,PROC10001,1,1,False
1821,99,2,1,PROC13101,1,1,False
1824,99,2,1,000000000031503244,2,2,False
1817,99,2,1,000000000031042062,1,1,False
1823,99,2,1,000000000031503243,2,2,False
754,100,1,2,000000000031045548,2,4,False
753,100,1,2,PROC7029,1,2,False
752,100,1,2,PROC2237,1,2,False
751,100,1,2,000000000031034776,1,2,False
750,100,1,2,PROC10204,2,4,False
749,100,1,2,000000000031503985,1,2,False
746,100,1,2,SSW0G44392,2,4,False
747,100,1,2,000000000031028776,1,2,False
755,100,1,2,000000000031045550,2,4,False
745,100,1,2,SSW0K51575,1,2,False
744,100,1,2,SSW0K51133,2,4,False
743,100,1,2,SSW0G44670,1,2,False
742,100,1,2,SSW0G44348,2,4,False
741,100,1,2,SSW0G43707,2,4,False
740,100,1,2,000000000000008820,1,2,False
748,100,1,2,000000000031040179,2,4,False
756,100,1,2,000000000031034609,1,2,False
759,100,1,2,000000000031037296,1,2,False
758,100,1,2,PROC2802,1,2,False
776,100,1,2,PROC10224,1,2,False
775,100,1,2,PROC1811,2,4,False
774,100,1,2,SPP0G98370,1,2,False
773,100,1,2,SSW0N29515,1,2,False
772,100,1,2,SSW0N27927,2,4,False
771,100,1,2,PROC12008,1,2,False
770,100,1,2,PROC9203,2,4,False
757,100,1,2,000000000067000739,1,2,False
769,100,1,2,SPP0G54610,1,2,False
767,100,1,2,PROC9106,2,4,False
766,100,1,2,PROC1811,1,2,False
765,100,1,2,SA70K11490,2,4,False
764,100,1,2,PROC8215,2,4,False
762,100,1,2,SL10F25678,1,2,False
761,100,1,2,PROC8213,2,4,False
760,100,1,2,SP10G00161,1,2,False
